title,author,belongTo,id,subTitle
和謝方智善,王洋,json/poet.song.97000.json,79fc950e-70a2-5bdd-96f0-e44a01e96ffc,
和聖求,王洋,json/poet.song.97000.json,a888a063-079a-5a96-ad10-4e6ce504ad2c,
和叔穎楮衾,王洋,json/poet.song.97000.json,b5e1189e-4b71-59ef-bfc5-781f448b6863,
酬凌季文過楊仲誠,王洋,json/poet.song.97000.json,acbe945e-64dd-56bf-aa0d-7b3daaada7da,
和朱秘校惠詩二首  其一,王洋,json/poet.song.97000.json,46730ed6-e2f2-5cd9-928e-925f048f04cf,
和朱秘校惠詩二首  其二,王洋,json/poet.song.97000.json,9d642e55-44ef-5267-9919-b48725380b7c,
和吳朝議  其一,王洋,json/poet.song.97000.json,8930fca7-9d61-5f6b-85a4-f24977b65094,
和吳朝議  其二,王洋,json/poet.song.97000.json,e6ceed3b-5667-55e8-93aa-1053e181ec59,
謝運屬秘書惠詩,王洋,json/poet.song.97000.json,d1e01d78-6681-50af-8755-db37e8949e9d,
謝邵武危秀才惠長牋,王洋,json/poet.song.97000.json,5c5a7528-86db-54d3-8e14-30b1e50246eb,
以越箋與三四弟有詩次韻,王洋,json/poet.song.97000.json,810b6be0-0fa5-5410-a96f-9069f708a752,
謝呂令子卿雪中遣人惠酒初令人置酒于祝舜俞呂令以酒爲惠云,王洋,json/poet.song.97000.json,2638f735-3681-564b-9325-d64e5f612b0f,
王提幹送雲安春色以詩還酒尊,王洋,json/poet.song.97000.json,fc58b007-fdd2-58a7-9411-f6bac0ac410d,
陳長卿凌季文自弋陽寄酒麴以詩謝之,王洋,json/poet.song.97000.json,849a68bd-7eb6-5b62-8b74-c5e4c878faa4,
曾法師嘗寄蒲萄追作一篇,王洋,json/poet.song.97000.json,0f349bbb-74e4-5760-bb79-0df0911a06c4,
曾谹父惠黄龍菜,王洋,json/poet.song.97000.json,fb3d6ddf-2f7d-500e-8218-59c1ffc108ff,
挽向伯恭  其一,王洋,json/poet.song.97000.json,71f54888-3328-58b9-933b-a74e5ba795ea,
挽向伯恭  其二,王洋,json/poet.song.97000.json,a3343221-f864-5c18-8dba-691d1ccccf20,
